id,name,state,state_abbr,state_fips,county_fips,totpop,popdensity,sqmi,poverty,diversity,bachelor
1,Autauga County,Alabama,AL,01,001,58805,97,604,0.1299,49,0.1739
2,Baldwin County,Alabama,AL,01,003,231767,142,1633,0.1042,39.7,0.2259
3,Barbour County,Alabama,AL,01,005,25223,28,905,0.2461,62.2,0.086
4,Bibb County,Alabama,AL,01,007,22293,36,626,0.1879,45.1,0.0717
5,Blount County,Alabama,AL,01,009,59134,91,651,0.153,39.8,0.0956
6,Bullock County,Alabama,AL,01,011,10357,17,625,0.3358,49,0.0834
7,Butler County,Alabama,AL,01,013,19051,25,778,0.1693,55.6,0.1063
8,Calhoun County,Alabama,AL,01,015,116441,190,612,0.1803,51.9,0.1162
9,Chambers County,Alabama,AL,01,017,34772,58,603,0.1529,58.8,0.1055
10,Cherokee County,Alabama,AL,01,019,24971,42,600,0.1626,20,0.0738
11,Chilton County,Alabama,AL,01,021,45014,64,701,0.1533,48.2,0.0896
12,Choctaw County,Alabama,AL,01,023,12665,14,921,0.2161,52.8,0.0848
13,Clarke County,Alabama,AL,01,025,23087,18,1253,0.2116,54.1,0.08
14,Clay County,Alabama,AL,01,027,14236,24,606,0.2011,38.5,0.0665
15,Cleburne County,Alabama,AL,01,029,15056,27,561,0.1676,19.1,0.1038
16,Coffee County,Alabama,AL,01,031,53465,79,681,0.1496,57.6,0.1667
17,Colbert County,Alabama,AL,01,033,57227,92,624,0.1525,43.2,0.1267
18,Conecuh County,Alabama,AL,01,035,11597,14,853,0.1328,56.8,0.0892
19,Coosa County,Alabama,AL,01,037,10387,16,666,0.109,50.7,0.096
20,Covington County,Alabama,AL,01,039,37570,36,1044,0.1919,33.7,0.1012
21,Crenshaw County,Alabama,AL,01,041,13194,22,611,0.1829,45.7,0.1411
22,Cullman County,Alabama,AL,01,043,87866,116,755,0.1345,26.5,0.0982
23,Dale County,Alabama,AL,01,045,49326,88,563,0.1696,55.9,0.133
24,Dallas County,Alabama,AL,01,047,38462,39,994,0.2464,44.5,0.0966
25,DeKalb County,Alabama,AL,01,049,71608,92,779,0.1881,54.5,0.0874
26,Elmore County,Alabama,AL,01,051,87977,134,657,0.1042,47.9,0.177
27,Escambia County,Alabama,AL,01,053,36757,39,953,0.2378,56.4,0.0904
28,Etowah County,Alabama,AL,01,055,103436,189,549,0.1658,45.9,0.1212
29,Fayette County,Alabama,AL,01,057,16321,26,629,0.207,32.6,0.1014
